City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
189,Pemangkat,ID,1.1667,108.9667,78.4,87,100,6.11,overcast clouds
190,Bindura,ZW,-17.3019,31.3306,75.87,35,7,5.1,clear sky
191,Puerto Leguizamo,CO,-0.1934,-74.7819,93.13,37,38,7.49,scattered clouds
192,Faanui,PF,-16.4833,-151.75,80.49,74,83,11.07,broken clouds
193,Pekan,MY,3.4836,103.3996,75.31,85,96,10.87,overcast clouds
194,Marienburg,PL,54.0359,19.0266,31.12,97,96,6.51,overcast clouds
195,Port-Gentil,GA,-0.7193,8.7815,79.77,79,100,5.19,overcast clouds
196,Quzhou,CN,28.9594,118.8686,48.33,85,100,5.95,overcast clouds
197,Leh,IN,34.1667,77.5833,10.4,57,94,2.04,overcast clouds
198,Lalibela,ET,12.0333,39.0333,57.47,46,6,7.94,clear sky
199,Esperance,AU,-33.8667,121.9,54.93,61,54,6.73,broken clouds
200,Santa Maria,BR,-29.6842,-53.8069,93.13,31,47,1.54,scattered clouds
201,Grao Mogol,BR,-16.5594,-42.8897,76.44,78,96,5.75,moderate rain
202,Iqaluit,CA,63.7506,-68.5145,6.53,72,75,2.3,broken clouds
203,Seoul,KR,37.5683,126.9778,26.04,54,0,5.75,clear sky
204,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,30.79,64,75,11.18,broken clouds
205,Acapulco,MX,16.8634,-99.8901,87.62,66,1,2.3,clear sky
206,Newport,GB,51.5877,-2.9984,55.08,79,100,17.2,overcast clouds
207,Lazaro Cardenas,MX,17.9583,-102.2,85.35,62,79,7.11,broken clouds
208,Pevek,RU,69.7008,170.3133,-33.95,96,28,1.77,scattered clouds
209,Kabo,CF,7.6994,18.629,84.51,26,81,4.83,broken clouds
210,Zhuanghe,CN,39.7008,122.9911,24.33,38,0,5.01,clear sky
211,San Quintin,MX,30.4833,-115.95,62.33,47,6,5.64,clear sky
212,Loralai,PK,30.3705,68.598,44.85,28,0,3.2,clear sky
